"name","region","year","POP","GDP","HEX","LAN","MOR","GDP_cap","HEX_total"
"Afghanistan","South Asia",2001,20531160,2461666315,NA,652860,133.8,119.899037122111,NA
"Albania","Europe & Central Asia",2001,3060173,4060758804,6.00014389,27400,24.9,1326.9703392586,24365137126.5843
"Algeria","Middle East & North Africa",2001,31590320,54744714110,3.83786516,2381740,38.9,1732.95851735595,210102830976.929
"American Samoa","East Asia & Pacific",2001,58176,NA,NA,200,NA,NA,NA
"Andorra","Europe & Central Asia",2001,67770,1484004617,5.78874692,470,4.4,21897.6629334514,8590527155.92453
"Angola","Sub-Saharan Africa",2001,15562791,8936063723,5.38455772,1246700,214.1,574.194161124441,48116750906.0916
"Antigua and Barbuda","Latin America & Caribbean",2001,78972,773765185.2,4.48439049,440,14.8,9797.96871296156,3469865238.00397
"Argentina","Latin America & Caribbean",2001,37471535,2.69e+11,9.37589012,2736690,19.7,7178.78250784229,2522114442280
"Armenia","Europe & Central Asia",2001,3060036,2118467913,5.94041648,28470,28.7,692.301630765128,12584581702.7364
"Aruba","Latin America & Caribbean",2001,92894,1920262570,NA,180,NA,20671.5457403062,NA
"Australia","East Asia & Pacific",2001,19413000,3.78e+11,8.17867869,7682300,6.1,19471.488178025,3091540544820
"Austria","Europe & Central Asia",2001,8042293,1.97e+11,10.11903601,82580,5.4,24495.5014695436,1993450093970
"Azerbaijan","Europe & Central Asia",2001,8111200,5707618247,4.48244097,82604,68.8,703.671250493145,25584061871.4724
"Bahamas, The","Latin America & Caribbean",2001,303138,6516651000,5.14618628,10010,15.5,21497.3081566811,33535899967.7483
"Bahrain","Middle East & North Africa",2001,694893,8976207713,3.79531921,710,12.1,12917.3955026169,34067573566.0991
"Bangladesh","South Asia",2001,133776064,53991289844,2.46995061,130170,83.5,403.594546211197,133355819284.875
"Barbados","Latin America & Caribbean",2001,270686,3116500000,5.47182997,430,16.6,11513.3401801349,17052958101.505
"Belarus","Europe & Central Asia",2001,9928000,12354820144,6.62474592,202840,13,1244.44199677679,81847544341.2978
"Belgium","Europe & Central Asia",2001,10286570,2.38e+11,8.29205205,30280,5.6,23136.9640220209,1973508387900
"Belize","Latin America & Caribbean",2001,254989,871860600,4.50244268,22810,24.2,3419.20867174662,3925502376.45041
"Benin","Sub-Saharan Africa",2001,7174911,2680213931,4.68672761,112760,141.1,373.553613557018,12561432631.1243
"Bermuda","North America",2001,62504,3680483000,NA,50,NA,58883.9594265967,NA
"Bhutan","South Asia",2001,580784,476360697.2,5.91345001,39800,75,820.202858894184,2816935169.62095
"Bolivia","Latin America & Caribbean",2001,8496378,8141537938,6.31154371,1083300,76.2,958.236314109377,51385672562.3103
"Bosnia and Herzegovina","Europe & Central Asia",2001,3799747,5748990666,7.16021767,51200,8.6,1512.99301400856,41164024551.3583
"Botswana","Sub-Saharan Africa",2001,1762531,5489608300,5.72932944,566730,81.6,3114.61659397764,31451774447.2584
"Brazil","Latin America & Caribbean",2001,178419396,5.59e+11,7.19063692,8358140,29.6,3133.06743847513,4019566038280
"British Virgin Islands","Latin America & Caribbean",2001,21087,NA,NA,150,NA,NA,NA
"Brunei Darussalam","East Asia & Pacific",2001,337074,5601090584,3.05915827,5270,9.3,16616.7980443463,17134622581.0627
"Bulgaria","Europe & Central Asia",2001,8020282,14135393876,7.23446648,110630,20.1,1762.45596800711,102262033177.519
"Burkina Faso","Sub-Saharan Africa",2001,11943740,2812845514,4.85203751,273600,182.4,235.507932523648,13648031943.7632
"Burundi","Sub-Saharan Africa",2001,6946720,876794723.1,4.96067407,25680,147.8,126.217081313195,4349492847.595
"Cabo Verde","Sub-Saharan Africa",2001,447357,563024383.3,5.18842561,4030,32.2,1258.55722230791,2921210129.36818
"Cambodia","East Asia & Pacific",2001,12448881,3979813388,5.70229312,176520,98.7,319.692459747989,22694062501.2763
"Cameroon","Sub-Saharan Africa",2001,16349364,9633109350,4.70069873,472710,145.7,589.203919491914,45282344887.4961
"Canada","North America",2001,31081900,7.36e+11,9.09586921,9093510,6.2,23679.3760999167,6694559738560
"Cayman Islands","Latin America & Caribbean",2001,43317,NA,NA,240,NA,NA,NA
"Central African Republic","Sub-Saharan Africa",2001,3794677,931833302.8,3.94971705,622980,173.5,245.563272657989,3680477883.82697
"Chad","Sub-Saharan Africa",2001,8663599,1709347793,6.08614845,1259200,187.3,197.302275070672,10403344420.8779
"Channel Islands","Europe & Central Asia",2001,149797,6232906290,NA,194,NA,41609.0194730202,NA
"Chile","Latin America & Caribbean",2001,15358418,72336972322,6.50868916,743532,10.3,4709.92339979287,470818867619.421
"China","East Asia & Pacific",2001,1271850000,1.33e+12,4.55782328,9388214.2,34.3,1045.72080040885,6061904962400
"Colombia","Latin America & Caribbean",2001,40988909,98203544965,5.96000372,1109500,24.3,2395.8565221875,585293493308.587
"Comoros","Sub-Saharan Africa",2001,561525,220093812.2,2.85941954,1861,100.8,391.957280975914,629340547.23777
"Congo, Dem. Rep.","Sub-Saharan Africa",2001,49449015,7438189100,2.66685774,2267050,156.8,150.421380486548,19836592172.9186
"Congo, Rep.","Sub-Saharan Africa",2001,3183883,2794259756,2.43633674,341500,119.7,877.626393934702,6807757704.64623
"Costa Rica","Latin America & Caribbean",2001,3996800,16403602943,7.24688126,51060,12.2,4104.18408301641,118874962764.108
"Cote d'Ivoire","Sub-Saharan Africa",2001,16865376,11192560827,4.84648676,318000,142.8,663.641345855556,54244597858.5502
"Croatia","Europe & Central Asia",2001,4440000,23289671102,7.16206455,55910,8,5245.42141936937,166802127780.794
"Cuba","Latin America & Caribbean",2001,11151472,31683300000,6.27017609,107400,8,2841.17648324813,198659870112.297
"Cyprus","Europe & Central Asia",2001,961482,10328979964,5.78263528,9240,6.1,10742.7699780131,59728723946.2395
"Czech Republic","Europe & Central Asia",2001,10216605,67375623427,6.42218784,77270,6.2,6594.71746504832,432698909485.299
"Denmark","Europe & Central Asia",2001,5358783,1.65e+11,9.10017962,42430,5.5,30790.5731581219,1501529637300
"Djibouti","Middle East & North Africa",2001,734088,572417440.8,5.37254273,23180,98.4,779.766786543303,3075337160.09525
"Dominica","Latin America & Caribbean",2001,69660,343119364.3,4.61495217,750,15.2,4925.62969135802,1583479454.84531
"Dominican Republic","Latin America & Caribbean",2001,8697127,24892595799,5.59412454,48320,40.1,2862.16307971586,139252281023.487
"Ecuador","Latin America & Caribbean",2001,12852753,24468324000,3.85795035,248360,33.1,1903.74186759833,94397579139.7134
"Egypt, Arab Rep.","Middle East & North Africa",2001,69599945,97632008710,5.75054527,995450,43.8,1402.75985433609,561437285887.889
"El Salvador","Latin America & Caribbean",2001,5844738,13812700000,8.01874114,20720,30.6,2363.27103113946,110760465744.478
"Equatorial Guinea","Sub-Saharan Africa",2001,549007,1461139022,1.78308363,28050,147.9,2661.42147914325,2605333071.28241
"Eritrea","Sub-Saharan Africa",2001,3655006,752368495.5,3.94880121,101000,84.6,205.846035683662,2970953625.39628
"Estonia","Europe & Central Asia",2001,1388115,6245072062,4.85382046,42390,10.2,4498.95870443011,30312458548.71
"Ethiopia","Sub-Saharan Africa",2001,68393128,8231326016,4.26258377,1e+06,139,120.353115242806,35086716681.3804
"Faroe Islands","Europe & Central Asia",2001,47012,1154899793,NA,1396,NA,24566.0638347656,NA
"Fiji","East Asia & Pacific",2001,814215,1660102346,3.28148396,18270,24.2,2038.89924160081,5447599220.35737
"Finland","Europe & Central Asia",2001,5188008,1.29e+11,7.42501005,304590,4.2,24865.0349035699,957826296450
"France","Europe & Central Asia",2001,61357431,1.38e+12,9.88690294,547566,5.3,22491.163295282,13643926057200
"French Polynesia","East Asia & Pacific",2001,241276,NA,NA,3660,NA,NA,NA
"Gabon","Sub-Saharan Africa",2001,1260435,5018874179,3.2299484,257670,84,3981.85878605402,16210704624.2624
"Gambia, The","Sub-Saharan Africa",2001,1267103,687408804.6,3.70840054,10120,114.5,542.504283077224,2549187182.17939
"Georgia","Europe & Central Asia",2001,4386400,3219487825,7.81612364,69490,33.4,733.970414234908,25163914897.6747
"Germany","Europe & Central Asia",2001,82349925,1.95e+12,10.15409317,348900,5.2,23679.4386880134,19800481681500
"Ghana","Sub-Saharan Africa",2001,19293804,5314909954,3.55887452,227540,97.3,275.472372063073,18915097611.385
"Gibraltar","Europe & Central Asia",2001,27580,NA,NA,10,NA,NA,NA
"Greece","Europe & Central Asia",2001,10862132,1.36e+11,8.47012165,128900,7.3,12520.562261626,1151936544400
"Greenland","Europe & Central Asia",2001,56350,1086170639,NA,410450,NA,19275.4328127773,NA
"Grenada","Latin America & Caribbean",2001,101849,520444185.2,7.66909007,340,15.6,5109.95871535312,3991333332.70656
"Guam","East Asia & Pacific",2001,156417,NA,NA,540,NA,NA,NA
"Guatemala","Latin America & Caribbean",2001,11976725,18702802399,6.75862604,107160,48.6,1561.59571159896,126405247314.856
"Guinea","Sub-Saharan Africa",2001,8955756,2833442750,3.65332963,245720,162.9,316.382307646613,10351500353.4837
"Guinea-Bissau","Sub-Saharan Africa",2001,1343646,392278164.4,5.03895833,28120,171.5,291.950531910935,1976673324.18049
"Guyana","Latin America & Caribbean",2001,743163,696281471.7,5.82490165,196850,45.6,936.916223897045,4055771093.36976
"Haiti","Latin America & Caribbean",2001,8692564,3596443005,5.63127188,27560,101.3,413.737880445862,20252548362.0792
"Honduras","Latin America & Caribbean",2001,6371304,7566498403,6.8768446,111890,35.8,1187.59023317676,52033633683.5792
"Hong Kong SAR, China","East Asia & Pacific",2001,6714300,1.69e+11,NA,1050,NA,25170.1592124272,NA
"Hungary","Europe & Central Asia",2001,10187576,53656435272,7.11497045,89620,10.5,5266.85006050507,381763951412.618
"Iceland","Europe & Central Asia",2001,284968,8126161154,9.12238316,100250,3.8,28516.0479562618,74129955666.6958
"India","South Asia",2001,1071888190,4.94e+11,4.49651024,2973190,87.7,460.868964327333,2221276058560
"Indonesia","East Asia & Pacific",2001,214448301,1.6e+11,2.23198234,1811570,49.8,746.100571811012,357117174400
"Iran, Islamic Rep.","Middle East & North Africa",2001,66812736,1.27e+11,5.02339127,1628550,32.7,1900.83519405641,637970691290
"Iraq","Middle East & North Africa",2001,24258794,NA,NA,437370,43.8,NA,NA
"Ireland","Europe & Central Asia",2001,3866243,1.09e+11,6.59839384,68890,6.9,28192.7442222333,719224928560
"Isle of Man","Europe & Central Asia",2001,77608,1614595291,NA,570,NA,20804.495554582,NA
"Israel","Middle East & North Africa",2001,6439000,1.31e+11,7.61027457,21640,6.6,20344.774033235,996945968670
"Italy","Europe & Central Asia",2001,56974100,1.16e+12,8.11320938,294110,5.2,20360.1285496392,9411322880800
"Jamaica","Latin America & Caribbean",2001,2605556,9087918837,5.33784359,10830,21.4,3487.90002479317,48509889310.5207
"Japan","East Asia & Pacific",2001,127149000,4.16e+12,7.74668514,364500,4.3,32717.5203894643,32226210182400
"Jordan","Middle East & North Africa",2001,4850227,8972965058,9.90197276,88240,26.9,1850.00930018327,88850055580.7478
"Kazakhstan","Europe & Central Asia",2001,14858335,22152689130,3.47096531,2699700,41.2,1490.92675121405,76891215493.4441
"Kenya","Sub-Saharan Africa",2001,31863280,12986007426,4.62224717,569140,104.1,407.554006555508,60024536074.4275
"Kiribati","East Asia & Pacific",2001,85858,63101272.37,9.00297707,810,68.5,734.949246080738,568099308.234935
"Korea, Dem. People’s Rep.","East Asia & Pacific",2001,23043441,NA,NA,120410,52,NA,NA
"Korea, Rep.","East Asia & Pacific",2001,47357362,5.33e+11,4.75962664,96740,6.4,11254.8498795182,2536880999120
"Kosovo","Europe & Central Asia",2001,1701154,2535333632,NA,10887,NA,1490.36103256966,NA
"Kuwait","Middle East & North Africa",2001,1990022,34890772742,3.60960453,17820,12.5,17532.857798557,125941891344.724
"Kyrgyz Republic","Europe & Central Asia",2001,4945100,1525113501,4.78581,191800,46.4,308.409031364381,7298903444.22081
"Lao PDR","East Asia & Pacific",2001,5424701,1768619058,4.31878741,230800,113.4,326.03069883483,7638289720.77646
"Latvia","Europe & Central Asia",2001,2337170,8347312514,6.16677115,62196,16,3571.54700513869,51475965991.3692
"Lebanon","Middle East & North Africa",2001,3359875,17649751244,10.90442335,10230,18.8,5253.09758368987,192460359586.765
"Lesotho","Sub-Saharan Africa",2001,1871489,706400239.3,7.52988554,30360,118.6,377.453588719998,5319112947.35761
"Liberia","Sub-Saharan Africa",2001,2998770,5.21e+08,6.40765167,96320,169.7,173.737899205341,3338386520.07
"Libya","Middle East & North Africa",2001,5428303,34110064452,4.05766524,1759540,27.3,6283.74363995525,138407222861.04
"Liechtenstein","Europe & Central Asia",2001,33663,2491800559,NA,160,NA,74021.9397855212,NA
"Lithuania","Europe & Central Asia",2001,3470818,12252498921,6.26029317,62680,11.3,3530.14733731357,76704235310.5687
"Luxembourg","Europe & Central Asia",2001,441525,21052080537,7.40182986,2590,4.6,47680.3817156446,155823918333.891
"Macao SAR, China","East Asia & Pacific",2001,438088,6811252879,NA,26,NA,15547.6819246361,NA
"Macedonia, FYR","Europe & Central Asia",2001,2021585,3709637830,8.18345523,25430,15.2,1835.01452078443,30357655101.3194
"Madagascar","Sub-Saharan Africa",2001,16235767,4529575348,5.17201954,581540,103.1,278.987457013888,23427052207.7583
"Malawi","Sub-Saharan Africa",2001,11491824,1716502070,5.07322144,94280,161.7,149.367243180891,8708195103.32838
"Malaysia","East Asia & Pacific",2001,23920963,92783947368,3.39740598,328550,9.4,3878.77140932829,315224737636.048
"Maldives","South Asia",2001,292000,884276168.3,5.83855621,300,39.2,3028.34304212329,5162896113.78297
"Mali","Sub-Saharan Africa",2001,11376094,3465305993,6.39271264,1220190,211.2,304.612988693659,22152705422.9188
"Malta","Middle East & North Africa",2001,393028,3917620728,7.11463824,320,7.5,9967.79040679036,27872454241.2454
"Marshall Islands","East Asia & Pacific",2001,52184,115152142.7,18.69292677,180,41.3,2206.65611490112,2152530570.89969
"Mauritania","Sub-Saharan Africa",2001,2796502,1295539448,4.33749659,1030700,113.1,463.2714183648,5619397937.91048
"Mauritius","Sub-Saharan Africa",2001,1196287,4536544700,3.86541671,2030,17.1,3792.18757706136,17535635689.0419
"Mexico","Latin America & Caribbean",2001,104239563,7.25e+11,5.35288319,1943950,24.1,6955.13276470662,3880840312750
"Micronesia, Fed. Sts.","East Asia & Pacific",2001,107170,240051900,8.5835092,700,52.8,2239.91695437156,2060487692.12748
"Moldova","Europe & Central Asia",2001,3631462,1480656884,6.99630753,32880,28.3,407.730243081161,10359130906.8755
"Monaco","Europe & Central Asia",2001,32364,2671401083,3.33167925,2,5,82542.3644481523,8900251556.65863
"Mongolia","East Asia & Pacific",2001,2419729,1267997923,5.45485747,1553560,58.4,524.024765996523,6916747942.22104
"Montenegro","Europe & Central Asia",2001,607389,1159891557,8.22848975,13450,13.2,1909.63543462262,9544155787.88604
"Morocco","Middle East & North Africa",2001,29250983,39459581217,4.4385331,446300,47.9,1349.00017606246,175142657343.793
"Mozambique","Sub-Saharan Africa",2001,18792357,4766928747,5.64277897,786380,162.5,253.663164604632,26898725285.0601
"Myanmar","East Asia & Pacific",2001,48195684,NA,1.80049104,653540,79.9,NA,NA
"Namibia","Sub-Saharan Africa",2001,1931005,3546783708,6.17906153,823290,76,1836.75532067499,21915794765.3336
"Nauru","East Asia & Pacific",2001,10053,NA,14.27627969,20,40.3,NA,NA
"Nepal","South Asia",2001,24140941,6007061224,5.36080541,143350,75.9,248.832935882657,32202686307.8204
"Netherlands","Europe & Central Asia",2001,16046180,4.27e+11,7.79322671,33760,6.1,26610.6948818971,3327707805170
